Metabolite,LibraryID,Precursor_Mass,Network_Number,RTConsensus
1399,NA,204.12,94,0.4054
814,NA,261.11,NA,0.4056
1224,NA,257.19,NA,0.4061
1235,NA,213.13,1411,0.4068
2809,NA,202.14,NA,0.4069
1063,NA,284.13,NA,0.4071
1335,NA,174.06,NA,0.4073
1593,NA,100.11,NA,0.4074
1073,NA,246.1,125,0.4075
1406,NA,262.11,NA,0.4075
1556,NA,343.19,NA,0.4079
1575,NA,283.14,3417,0.408
1227,NA,400.15,NA,0.408
1293,NA,265.09,NA,0.4081
1340,NA,259.2,NA,0.4081
2105,NA,143.03,NA,0.4086
1292,NA,294.22,1395,0.409
1665,NA,271.13,1641,0.4092
1173,NA,185.06,557,0.4096
1634,NA,130.09,NA,0.41
1349,NA,203.08,NA,0.4101
1154,NA,309.14,NA,0.4104
1346,NA,334.11,NA,0.4107
1177,NA,349.2,784,0.4109
1680,NA,254.16,4010,0.4109
1304,NA,307.12,2544,0.4109
1207,NA,262.17,NA,0.4109
2102,NA,204.09,NA,0.4115
3989,NA,160.13,7252,0.4118
1074,NA,522.2,207,0.4124
1411,NA,253.08,451,0.4127
1605,NA,319.1,NA,0.4128
1519,NA,333.18,3,0.4128
1544,NA,388.22,520,0.4133
952,NA,445.18,NA,0.4135
2237,NA,137.07,NA,0.4136
1611,NA,131.07,NA,0.4139
1079,NA,198.17,NA,0.4145
1794,NA,277.15,NA,0.4147
1578,NA,197.09,NA,0.416
1597,NA,251.15,451,0.416
1287,NA,394.13,147,0.4161
1348,NA,575.25,NA,0.4161
1485,NA,174.15,57,0.4161
1003,NA,206.15,3543,0.4162
1427,NA,350.33,NA,0.4166
1430,NA,370.3,94,0.4166
1435,NA,414.32,NA,0.4166
1436,NA,422.33,94,0.4166
1437,NA,438.32,NA,0.4166
2272,NA,220.14,1024,0.4167
1587,NA,140.03,NA,0.4172
1615,NA,291.12,413,0.4172
3991,NA,240.12,1084,0.4173
1444,NA,151.1,NA,0.4181
1409,NA,175.09,NA,0.4189
875,NA,219.21,NA,0.4198
1255,NA,212.21,10,0.42
1482,NA,273.14,3852,0.4201
4113,NA,375.19,680,0.4204
1910,NA,281.11,3422,0.4207
1389,NA,111.09,NA,0.4211
1629,NA,282.13,1475,0.4216
1020,NA,281.07,NA,0.4225
1234,NA,238.11,NA,0.4228
2076,NA,611.18,NA,0.4232
1028,NA,354.16,NA,0.4237
2228,NA,360.09,3575,0.4239
1331,NA,144.07,NA,0.424
2024,NA,620.2,836,0.4243
1644,NA,320.17,NA,0.4244
2055,NA,340.2,284,0.4257
1515,NA,220.1,NA,0.4259
1347,NA,182.12,NA,0.4261
3129,NA,126.06,NA,0.4262
1509,NA,665.17,NA,0.4265
1496,NA,308.13,NA,0.427
1562,NA,348.14,300,0.427
1552,NA,306.06,3590,0.4274
1809,NA,280.2,NA,0.4278
2353,NA,169.1,NA,0.4279
692,NA,154.05,NA,0.4282
773,NA,283.09,NA,0.4283
1708,NA,240.04,NA,0.4286
1523,NA,270.13,1475,0.4295
1912,NA,304.15,NA,0.4296
1730,NA,196.1,592,0.4298
1184,NA,268.12,NA,0.4298
1269,NA,730.27,1174,0.4298
1754,NA,291.05,NA,0.4301
1015,NA,520.19,284,0.4305
1701,NA,213.09,2707,0.4308
3383,NA,221.09,5757,0.431
1860,NA,124.08,442,0.4311
1861,NA,275.08,284,0.4322
1623,"Candidate Dihydroxylated bile acid (delta mass 3.0112; sirius atomic difference: -1C, 1H, 1N; buddy atomic difference: -1C, 1H, 1N)",396.31,94,0.4322
1699,NA,327.06,NA,0.4323
1668,NA,324.19,NA,0.4336
1420,NA,423.2,1207,0.4337
1316,NA,385.2,NA,0.4341
1867,NA,239.1,697,0.4352
1973,NA,198.04,5327,0.4356
2093,NA,176.16,NA,0.4359
1738,NA,224.08,NA,0.4362
1870,NA,239.14,NA,0.4364
1767,NA,449.72,NA,0.4365
1595,NA,653.27,1174,0.4368
811,NA,171.06,5530,0.4374
3073,NA,256.08,920,0.4378
1856,NA,285.08,284,0.4378
1830,NA,178.09,5381,0.4379
1659,NA,275.12,1166,0.4379
429,NA,192.08,NA,0.4379
1691,NA,310.19,NA,0.4387
2283,NA,306.15,2630,0.439
2097,NA,256.12,NA,0.439
1584,NA,285.16,1166,0.4394
4511,NA,273.66,5370,0.4398
1570,NA,168.07,NA,0.4403
1731,NA,187.14,NA,0.4403
2053,NA,215.07,5327,0.4405
2180,NA,333.68,NA,0.4407
956,NA,395.41,10,0.4407
2012,NA,131.12,NA,0.4409
1371,NA,332.18,2322,0.4413
1613,NA,512.2,207,0.4429
1696,NA,180.1,NA,0.4431
1745,NA,324.08,2635,0.4436
1632,NA,288.14,2845,0.444
1793,NA,273.18,425,0.4442
1882,NA,314.21,2047,0.4445
1823,NA,312.14,NA,0.4451
1608,NA,398.2,NA,0.4453
970,NA,215.22,NA,0.4454
1837,NA,558.31,NA,0.4457
1897,NA,304.22,NA,0.4457
1820,NA,245.15,NA,0.4458
1418,NA,113.06,704,0.4459
1818,NA,353.2,NA,0.4461
3467,NA,543.13,NA,0.4463
1903,NA,137.06,NA,0.4464
2603,NA,400.18,NA,0.4465
3480,NA,211.11,1475,0.4466
1312,NA,226.07,NA,0.4467
1790,NA,415.12,781,0.4471
1824,NA,418.12,781,0.4475
1857,NA,649.2,NA,0.4475
1828,NA,305.21,742,0.4481
1645,NA,644.24,207,0.4481
2262,NA,164.07,721,0.4483
827,NA,297.14,1166,0.4485
1744,NA,239.02,3128,0.4491
1456,NA,194.09,NA,0.4496
1554,NA,304.26,1774,0.4496
1390,NA,251.14,NA,0.4498
1943,NA,363.21,4399,0.4498
1268,NA,495.7,6820,0.4499
1821,NA,256.18,2464,0.45
1988,NA,298.11,284,0.4509
1898,NA,263.08,NA,0.451
1589,NA,280.21,742,0.451
1160,NA,257.11,2256,0.4511
1845,NA,260.23,NA,0.4512
2110,NA,334.16,5032,0.4515
1984,NA,255.21,10,0.452
1574,NA,365.16,NA,0.4522
1805,NA,224.15,7640,0.4524
1963,NA,482.19,207,0.4525
1748,NA,291.19,NA,0.4535
1365,NA,290.17,NA,0.454
2115,NA,432.21,207,0.4542
3319,NA,162.11,NA,0.4547
2179,NA,436.18,170,0.4555
1715,NA,396.19,NA,0.4555
2141,NA,173.07,NA,0.4558
1906,NA,318.24,NA,0.4558
1878,NA,222.12,NA,0.4559
2188,NA,135.07,NA,0.4578
3318,NA,148.13,NA,0.4579
2197,NA,265.16,NA,0.458
2123,NA,201.07,5605,0.4581
3419,NA,253.12,NA,0.4581
1626,NA,271.18,752,0.459
1970,NA,393.25,NA,0.4592
1810,NA,446.2,3107,0.4594
1817,NA,300.08,6858,0.4596
1687,NA,252.14,NA,0.46
2046,NA,270.18,466,0.4601
1975,NA,242.01,NA,0.4604
2067,NA,300.13,6858,0.4605
1981,NA,148.66,NA,0.4611
190,NA,234.13,NA,0.4614
1344,NA,394.17,NA,0.4615
2137,NA,215.09,1829,0.4619
2018,NA,296.31,NA,0.4623
2004,NA,201.15,NA,0.4631
2084,NA,318.2,NA,0.4631
1929,NA,248.1,NA,0.4634
2594,NA,251.1,NA,0.4635
1716,NA,170.16,NA,0.4637
2038,NA,383.18,784,0.464
1976,NA,410.2,NA,0.4641
2186,NA,128.08,57,0.4642
1693,NA,207.11,3274,0.4647
2367,NA,322.19,NA,0.4647
2447,NA,469.24,284,0.4649
2019,NA,448.34,94,0.4649
2092,NA,539.21,125,0.4651
2083,NA,730.32,NA,0.4664
2185,NA,366.18,5694,0.4671
966,NA,333.12,207,0.4673
2727,NA,163.06,1510,0.4674
2056,NA,320.1,284,0.4676
1242,NA,310.18,726,0.468
2066,NA,311.16,742,0.4681
1974,NA,220.03,NA,0.4683
1752,NA,336.07,NA,0.4684
1743,NA,335.16,NA,0.4688
2140,NA,216.2,NA,0.469
1936,NA,297.11,NA,0.469
3515,NA,314.17,NA,0.4692
2357,NA,485.19,284,0.4698
542,NA,143.12,654,0.4698
2572,NA,278.12,NA,0.471
1784,NA,242.14,NA,0.4717
3368,NA,206.14,1407,0.472
2488,NA,383.2,NA,0.472
1356,NA,199.11,3283,0.4722
2274,NA,288.19,1982,0.4729
2174,NA,215.13,2600,0.4731
3732,NA,361.17,1420,0.4732
2175,NA,294.14,3424,0.4736
1841,NA,347.13,NA,0.4739
787,NA,241.12,NA,0.474
2974,NA,225.12,7640,0.4746
2238,NA,173.13,1548,0.4748
1902,NA,250.17,NA,0.4748
2152,NA,674.25,207,0.475
2091,NA,670.26,4411,0.4751
2717,NA,220.15,NA,0.4753
1980,NA,275.2,NA,0.4753
2787,NA,348.13,4376,0.4763
2232,NA,271.08,NA,0.4765
1983,NA,256.09,NA,0.4766
2829,NA,487.14,NA,0.4768
2154,NA,267.08,3422,0.4769
2157,NA,167.06,NA,0.4771
1244,NA,216.09,NA,0.4776
2838,NA,236.19,NA,0.4781
2482,NA,305.09,284,0.4782
3341,NA,129.14,NA,0.4782
2198,NA,114.09,606,0.4782
2134,NA,808.36,1371,0.4789
3865,NA,282.12,3417,0.4789
1596,NA,163.09,NA,0.479
1792,NA,401.29,NA,0.4799
2558,NA,333.68,5032,0.48
2513,NA,211.14,1753,0.48
1583,NA,304.1,NA,0.4802
2044,NA,494.2,125,0.4809
1689,NA,225.08,3640,0.4813
2007,NA,187.09,NA,0.4817
2249,NA,196.08,NA,0.4818
2250,NA,283.1,284,0.4818
2147,NA,312.18,2047,0.4819
1806,NA,314.18,NA,0.4826
2323,NA,154.06,1144,0.483
2610,NA,329.18,63,0.4831
2223,NA,209.09,NA,0.4834
2144,NA,337.08,NA,0.4835
4499,NA,269.11,NA,0.4845
2162,NA,389.2,NA,0.4859
3408,NA,188.18,NA,0.4861
2640,NA,224.11,5027,0.4861
1859,NA,178.11,NA,0.4862
2263,NA,225.2,10,0.4865
2570,NA,408.19,2373,0.4868
2167,NA,587.32,NA,0.4876
2443,NA,332.17,NA,0.4878
2568,NA,391.73,NA,0.4882
2307,NA,355.15,424,0.4884
2139,NA,234.06,NA,0.4888
2311,NA,262.01,NA,0.4889
2096,NA,413.12,NA,0.4894
2193,NA,361.2,NA,0.4903
1724,NA,212.19,3856,0.4905
1106,NA,250.12,NA,0.4908
2344,NA,362.16,592,0.4908
980,NA,395.2,1207,0.4909
2290,NA,263.12,11,0.4912
2597,NA,400.22,1292,0.4916
3026,NA,435.13,4703,0.4917
2806,NA,443.16,NA,0.4918
1667,NA,206.04,189,0.4919
3361,NA,503.22,NA,0.4922
2416,NA,215.05,1829,0.4925
2256,NA,324.23,1395,0.4927
2481,NA,294.18,3424,0.493
2336,NA,268.24,10,0.4931
2449,NA,194.07,284,0.4932
1919,NA,347.19,3,0.4936
2215,NA,222.09,NA,0.4939
2383,NA,246.17,94,0.494
2576,NA,302.17,NA,0.4943
2119,NA,283.13,NA,0.4947
2708,NA,279.1,4361,0.4949
1592,NA,293.11,4224,0.496
2388,NA,314.23,94,0.4964
2392,NA,373.31,94,0.4964
2393,NA,398.33,94,0.4964
2396,NA,424.34,94,0.4964
2641,NA,149.06,NA,0.4966
2220,NA,435.37,10,0.497
2665,NA,199.14,3283,0.4979
2596,NA,301.08,NA,0.4987
1182,NA,130.16,NA,0.4988
1989,NA,277.12,NA,0.4997
2587,NA,556.24,NA,0.4999
3425,NA,527.16,2848,0.5004
2820,NA,339.16,3044,0.5012
3566,NA,348.18,NA,0.5021
677,NA,188.07,950,0.503
2616,NA,127.05,1277,0.503
2628,NA,363.12,NA,0.503
2539,NA,550.27,2553,0.5037
2312,NA,293.15,NA,0.504
2672,NA,243.1,284,0.504
2515,NA,359.16,NA,0.5042
2521,NA,228.21,NA,0.5047
2650,NA,240.21,NA,0.5049
1522,NA,225.06,189,0.5049
2899,NA,254.14,NA,0.5052
2625,NA,345.13,NA,0.5056
2630,NA,240.1,NA,0.5062
2726,NA,129.09,NA,0.5069
2615,NA,409.2,NA,0.507
2422,NA,250.04,18,0.5071
2582,NA,520.24,NA,0.5079
3362,NA,197.14,NA,0.5082
2346,NA,285.14,750,0.5086
3087,NA,167.09,NA,0.5086
2524,NA,561.19,NA,0.5097
2550,NA,386.11,NA,0.5099
2673,NA,413.14,NA,0.51
2651,NA,162.06,1944,0.5101
2612,NA,396.21,1166,0.5103
2583,NA,245.1,227,0.5105
2075,NA,241.09,NA,0.5107
556,NA,311.12,NA,0.5111
2566,NA,266.01,NA,0.5111
2611,NA,327.19,63,0.5112
2581,NA,298.25,10,0.5117
2529,NA,389.13,424,0.5117
2116,NA,259.08,2256,0.5119
3629,NA,281.11,NA,0.5127
2618,NA,361.21,NA,0.5129
2649,NA,303.07,6031,0.5132
2490,NA,417.27,NA,0.5138
3799,NA,231.13,1166,0.5154
2706,NA,265.08,NA,0.5157
2484,NA,681.32,NA,0.5169
2457,NA,367.15,NA,0.5176
3049,NA,442.23,NA,0.5177
2255,NA,263.1,11,0.5179
1775,NA,295.13,3424,0.5185
2221,NA,664.28,4536,0.5185
3783,NA,173.17,NA,0.5188
3320,NA,277.09,NA,0.519
2686,NA,304.3,938,0.519
2181,NA,508.2,424,0.5196
3389,NA,253.15,75,0.5206
880,NA,381.19,NA,0.5208
2546,NA,247.2,1604,0.5215
3832,NA,104.11,57,0.5225
2598,NA,298.09,NA,0.5228
2880,NA,334.2,1380,0.5231
2602,NA,371.14,4193,0.5238
2901,NA,307.22,2147,0.524
3078,NA,245.06,NA,0.5241
2735,NA,168.03,189,0.5249
2761,NA,323.16,1874,0.5255
2264,NA,479.19,125,0.5257
3983,NA,365.11,NA,0.5258
2773,NA,340.15,NA,0.5266
2853,NA,430.3,330,0.5267
2889,NA,344.18,2230,0.5268
4578,NA,247.11,1870,0.5269
2377,NA,284.11,NA,0.5273
2818,NA,311.07,NA,0.5281
1503,NA,408.2,NA,0.5283
2551,NA,265.17,NA,0.5286
2663,NA,315.17,680,0.5288
1704,NA,316.22,1720,0.5293
2891,NA,357.2,2147,0.5308
2526,NA,877.43,125,0.5319
2523,NA,343.13,NA,0.532
3222,NA,109.03,NA,0.5328
3207,NA,161.1,NA,0.5334
2731,NA,322.21,5753,0.5339
2760,NA,434.12,1320,0.5348
2300,NA,150.06,168,0.5357
3560,NA,343.2,599,0.5359
3395,NA,149.08,2981,0.5361
652,NA,233.15,491,0.5365
840,NA,100.08,57,0.5372
2846,NA,608.23,6173,0.5373
2599,NA,239.18,3128,0.5376
3143,NA,138.13,877,0.5379
3115,NA,298.13,319,0.5386
2831,NA,457.18,NA,0.5387
2629,NA,276.13,NA,0.5388
2427,NA,292.14,5694,0.539
2922,NA,539.29,5593,0.5395
2733,NA,344.1,1042,0.5398
3037,NA,290.12,NA,0.5402
2694,NA,290.07,NA,0.5408
4183,NA,132.08,NA,0.5414
2271,NA,218.19,10,0.5419
2555,NA,441.19,125,0.5428
2907,NA,460.31,NA,0.5429
2802,NA,258.22,NA,0.5432
2473,NA,392.24,NA,0.5448
3083,NA,272.19,NA,0.5458
2933,NA,631.8,NA,0.5469
3472,NA,689.21,NA,0.5475
2929,NA,201.17,NA,0.5487
2971,NA,290.16,3469,0.5513
2958,NA,491.18,NA,0.5513
3055,NA,286.1,NA,0.5517
2941,NA,245.11,NA,0.5517
3171,NA,486.3,NA,0.5529
2756,NA,511.29,NA,0.5532
1146,NA,377.19,1082,0.5536
3004,"Candidate Monohydroxylated bile acid (delta mass 23.0357; sirius atomic difference: -5C, 1H, 7N, -1O; buddy atomic difference: -1C, 5H, 1N, 1O)",400.34,94,0.5536
2962,NA,459.13,NA,0.5537
2683,NA,501.17,125,0.5538
4383,NA,316.19,NA,0.5547
3394,NA,182.08,NA,0.5552
2867,NA,621.25,NA,0.5551
3158,NA,208.11,NA,0.5553
2176,NA,193.14,NA,0.5562
1891,NA,282.06,NA,0.5563
3047,NA,234.95,568,0.5565
2920,NA,249.13,18,0.5575
2794,NA,276.19,1166,0.5575
3439,NA,341.17,5853,0.5583
3030,NA,336.16,1108,0.5589
2772,NA,385.1,NA,0.5591
3269,NA,255.13,NA,0.5593
3118,NA,188.04,950,0.5605
3220,NA,325.18,1874,0.561
2834,NA,340.1,189,0.5612
1466,NA,176.07,NA,0.5615
3255,NA,243.66,NA,0.5616
2394,NA,400.27,1533,0.5628
1296,NA,195.06,657,0.5631
3062,NA,337.2,2230,0.5633
3104,NA,429.25,NA,0.5643
3523,NA,362.19,NA,0.5653
2858,NA,397.21,NA,0.5662
3066,NA,200.04,NA,0.5666
3141,NA,294.06,NA,0.5682
2782,NA,218.08,1024,0.5685
3162,NA,326.38,NA,0.5694
3443,NA,386.18,696,0.5698
3036,NA,243.13,3,0.5701
3257,NA,236.13,NA,0.5703
2061,NA,269.15,NA,0.5706
2379,NA,989.41,1524,0.5708
2391,NA,372.31,94,0.5714
3536,NA,429.73,NA,0.5722
3054,NA,269.19,NA,0.5722
3090,NA,271.11,NA,0.5724
2830,NA,449.22,2553,0.5726
2415,NA,242.15,418,0.5729
3481,NA,603.24,NA,0.5744
3872,NA,206.08,NA,0.5749
3390,NA,180.06,1379,0.5755
2808,NA,241.07,NA,0.5755
3259,NA,401.19,835,0.5757
3343,NA,324.16,2599,0.576
3172,NA,227.19,NA,0.5763
3590,NA,218.09,NA,0.5764
2431,NA,231.17,2791,0.5769
3871,NA,178.12,NA,0.577
3497,NA,178.05,189,0.578
3572,NA,272.11,NA,0.5781
3645,NA,307.16,1447,0.5783
3221,NA,205.15,NA,0.5783
3365,NA,282.14,NA,0.5787
2669,NA,223.11,1535,0.5789
3048,NA,171.03,5569,0.5795
3135,NA,540.76,125,0.5797
3525,NA,289.18,NA,0.5798
4422,NA,332.18,NA,0.5799
3400,NA,326.17,3028,0.5825
3151,NA,213.11,NA,0.5833
3955,NA,268.13,NA,0.5843
2747,NA,332.15,NA,0.5847
3669,NA,115.04,NA,0.585
3322,NA,493.28,169,0.585
3263,NA,203.22,NA,0.5851
4299,NA,130.05,1501,0.5852
3244,NA,319.19,NA,0.5865
1811,NA,306.19,742,0.5879
4583,NA,148.06,NA,0.588
3373,NA,251.08,284,0.5902
4185,NA,291.1,NA,0.5906
3918,NA,136.08,NA,0.5906
3297,NA,422.25,2147,0.5909
4132,NA,401.06,3568,0.5913
3351,NA,319.07,6031,0.5914
3336,NA,304.1,NA,0.592
